

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines

14721.182  000.797  000.797: sourcing /Users/fill/.cache/dein/.cache/init.vim/.dein/lib/nerdtree/opener.vim
14722.071  000.725  000.725: sourcing /Users/fill/.cache/dein/.cache/init.vim/.dein/lib/nerdtree/creator.vim
14722.530  000.295  000.295: sourcing /Users/fill/.cache/dein/.cache/init.vim/.dein/lib/nerdtree/flag_set.vim
14723.246  000.559  000.559: sourcing /Users/fill/.cache/dein/.cache/init.vim/.dein/lib/nerdtree/nerdtree.vim
14724.262  000.859  000.859: sourcing /Users/fill/.cache/dein/.cache/init.vim/.dein/lib/nerdtree/ui.vim
14724.703  000.280  000.280: sourcing /Users/fill/.cache/dein/.cache/init.vim/.dein/lib/nerdtree/event.vim
14725.164  000.309  000.309: sourcing /Users/fill/.cache/dein/.cache/init.vim/.dein/lib/nerdtree/notifier.vim
14726.472  001.124  001.124: sourcing /Users/fill/.cache/dein/.cache/init.vim/.dein/autoload/nerdtree/ui_glue.vim
14731.493  000.498  000.498: sourcing /Users/fill/.cache/dein/.cache/init.vim/.dein/nerdtree_plugin/exec_menuitem.vim
14733.261  001.684  001.684: sourcing /Users/fill/.cache/dein/.cache/init.vim/.dein/nerdtree_plugin/fs_menu.vim
14734.706  001.282  001.282: sourcing /Users/fill/.cache/dein/.cache/init.vim/.dein/nerdtree_plugin/webdevicons.vim
14734.954  024.428  010.003: sourcing /Users/fill/.cache/dein/.cache/init.vim/.dein/plugin/NERD_tree.vim
14735.436  000.397  000.397: sourcing /Users/fill/.cache/dein/.cache/init.vim/.dein/plugin/SyntaxRange.vim
14736.306  000.787  000.787: sourcing /Users/fill/.cache/dein/.cache/init.vim/.dein/plugin/ac_smooth_scroll.vim
14736.531  000.146  000.146: sourcing /Users/fill/.cache/dein/.cache/init.vim/.dein/plugin/airline-themes.vim
14738.191  000.825  000.825: sourcing /Users/fill/.cache/dein/.cache/init.vim/.dein/autoload/airline.vim
14739.223  000.605  000.605: sourcing /Users/fill/.cache/dein/.cache/init.vim/.dein/autoload/airline/init.vim
14740.811  000.838  000.838: sourcing /Users/fill/.cache/dein/.cache/init.vim/.dein/autoload/airline/parts.vim
14743.362  000.763  000.763: sourcing /Users/fill/.cache/dein/.cache/init.vim/.dein/autoload/airline/util.vim
14743.436  006.830  003.799: sourcing /Users/fill/.cache/dein/.cache/init.vim/.dein/plugin/airline.vim
14745.301  000.631  000.631: sourcing /Users/fill/.cache/dein/.cache/init.vim/.dein/autoload/ale/events.vim
14745.561  002.026  001.395: sourcing /Users/fill/.cache/dein/.cache/init.vim/.dein/plugin/ale.vim
14754.703  009.052  009.052: sourcing /Users/fill/.cache/dein/.cache/init.vim/.dein/plugin/caw.vim
