

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines

228.913  000.762  000.762: sourcing /Users/fill/.cache/dein/.cache/init.vim/.dein/autoload/airline.vim
230.564  001.219  001.219: sourcing /Users/fill/.cache/dein/.cache/init.vim/.dein/autoload/airline/init.vim
232.320  000.688  000.688: sourcing /Users/fill/.cache/dein/.cache/init.vim/.dein/autoload/airline/parts.vim
235.094  000.583  000.583: sourcing /Users/fill/.cache/dein/.cache/init.vim/.dein/autoload/airline/util.vim
235.158  007.875  004.623: sourcing /Users/fill/.cache/dein/.cache/init.vim/.dein/plugin/airline.vim
237.215  000.814  000.814: sourcing /Users/fill/.cache/dein/.cache/init.vim/.dein/autoload/ale/events.vim
237.468  002.211  001.398: sourcing /Users/fill/.cache/dein/.cache/init.vim/.dein/plugin/ale.vim
243.419  005.866  005.866: sourcing /Users/fill/.cache/dein/.cache/init.vim/.dein/plugin/caw.vim
244.436  000.910  000.910: sourcing /Users/fill/.cache/dein/.cache/init.vim/.dein/plugin/fugitive.vim
246.370  001.839  001.839: sourcing /Users/fill/.cache/dein/.cache/init.vim/.dein/plugin/fzf.vim
246.986  000.518  000.518: sourcing /Users/fill/.cache/dein/.cache/init.vim/.dein/plugin/neomru.vim
247.980  000.900  000.900: sourcing /Users/fill/.cache/dein/.cache/init.vim/.dein/plugin/neosnippet.vim
248.522  000.408  000.408: sourcing /Users/fill/.cache/dein/.cache/init.vim/.dein/plugin/neoyank.vim
248.901  000.295  000.295: sourcing /Users/fill/.cache/dein/.cache/init.vim/.dein/plugin/parenmatch.vim
250.507  001.519  001.519: sourcing /Users/fill/.cache/dein/.cache/init.vim/.dein/plugin/surround.vim
252.496  001.018  001.018: sourcing /Users/fill/.cache/dein/.cache/init.vim/.dein/autoload/unite/custom.vim
252.668  002.064  001.047: sourcing /Users/fill/.cache/dein/.cache/init.vim/.dein/plugin/unite/bookmark.vim
253.320  000.558  000.558: sourcing /Users/fill/.cache/dein/.cache/init.vim/.dein/plugin/unite/buffer.vim
254.150  000.734  000.734: sourcing /Users/fill/.cache/dein/.cache/init.vim/.dein/plugin/unite/window.vim
254.821  000.576  000.576: sourcing /Users/fill/.cache/dein/.cache/init.vim/.dein/plugin/unite.vim
255.430  000.516  000.516: sourcing /Users/fill/.cache/dein/.cache/init.vim/.dein/plugin/vimproc.vim
263.077  001.583  001.583: sourcing /Users/fill/.cache/dein/.cache/init.vim/.dein/autoload/vital/unite.vim
265.089  001.058  001.058: sourcing /Users/fill/.cache/dein/.cache/init.vim/.dein/autoload/vital/_unite/Prelude.vim
265.590  002.178  001.120: sourcing /Users/fill/.cache/dein/.cache/init.vim/.dein/autoload/vital/_unite/Prelude.vim
266.371  006.633  002.871: sourcing /Users/fill/.cache/dein/.cache/init.vim/.dein/autoload/unite/util.vim
266.826  007.841  001.209: sourcing /Users/fill/.cache/dein/.cache/init.vim/.dein/autoload/unite.vim
267.613  000.525  000.525: sourcing /Users/fill/.cache/dein/.cache/init.vim/.dein/autoload/unite/variables.vim
268.296  012.769  004.403: sourcing /Users/fill/.cache/dein/.cache/init.vim/.dein/plugin/webdevicons.vim
270.700  000.746  000.746: sourcing /usr/local/Cellar/neovim/0.3.1/share/nvim/runtime/plugin/gzip.vim
271.130  000.342  000.342: sourcing /usr/local/Cellar/neovim/0.3.1/share/nvim/runtime/plugin/health.vim
271.730  000.507  000.507: sourcing /usr/local/Cellar/neovim/0.3.1/share/nvim/runtime/plugin/man.vim
273.195  001.369  001.369: sourcing /usr/local/Cellar/neovim/0.3.1/share/nvim/runtime/plugin/matchit.vim
